         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 dynamics.py:2(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:16(<module>)
     22/8    0.000    0.000    0.001    0.000 pyparsing.py:2622(parseImpl)
        1    0.000    0.000    0.001    0.001 pyplot.py:1855(get_plot_commands)
     1994    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x905bc0}
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 axis.py:3(<module>)
        1    0.000    0.000    0.001    0.001 texmanager.py:35(<module>)
      189    0.000    0.000    0.001    0.000 rcsetup.py:119(validate_bool)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3002(__init__)
    36/23    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
     1465    0.000    0.000    0.001    0.000 artist.py:1138(is_alias)
       98    0.001    0.000    0.001    0.000 docstring.py:44(__call__)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2764(parseImpl)
        1    0.001    0.001    0.001    0.001 core.py:2642(MaskedArray)
        1    0.000    0.000    0.001    0.001 texmanager.py:89(TexManager)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
      8/4    0.000    0.000    0.000    0.000 pyparsing.py:2628(leaveWhitespace)
       22    0.000    0.000    0.000    0.000 locale.py:495(getdefaultlocale)
        1    0.000    0.000    0.000    0.000 scanner.py:2(<module>)
   124/73    0.000    0.000    0.000    0.000 {issubclass}
       22    0.000    0.000    0.000    0.000 core.py:154(iter_style_files)
       72    0.000    0.000    0.000    0.000 cm.py:52(_reverse_cmap_spec)
       17    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 urllib.py:23(<module>)
    14/10    0.000    0.000    0.000    0.000 __init__.py:319(wrapper)
        5    0.000    0.000    0.000    0.000 warnings.py:67(filterwarnings)
      659    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:25(<module>)
        4    0.000    0.000    0.000    0.000 tempfile.py:135(next)
       67    0.000    0.000    0.000    0.000 cm.py:35(revcmap)
      433    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
      261    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
     15/9    0.000    0.000    0.000    0.000 pyparsing.py:2334(copy)
        1    0.000    0.000    0.000    0.000 pdb.py:3(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:12(<module>)
      159    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 polynomial.py:55(<module>)
       63    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
     1272    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
     2018    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
        4    0.000    0.000    0.000    0.000 tempfile.py:124(rng)
       34    0.000    0.000    0.000    0.000 pyparsing.py:1226(__add__)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
      953    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
       66    0.000    0.000    0.000    0.000 pyparsing.py:776(wrapper)
